id_entreprise;name;sector;city;country;website;email;revenue;enrollment;average;salary;description;message
boccard;BOCCARD SA;Industrie & Agroalimentaire;Villeurbanne;France;http://www.boccard.com;"Boccard.recrutement@
boccard.fr";;3500;;;"Depuis 1918, Boccard s’est imposé, en France et dans le monde, comme un
acteur majeur dans la conception et la réalisation d’installations industrielles
toujours plus performantes et innovantes. Boccard se positionne comme un
Ensemblier Industriel de référence intégrant les expertises d’Engineering,
de Manufacturing, de Construction et de Maintenance avec plus de 3500
collaborateurs présents dans 35 pays. Grâce à son excellence dans la
gestion de projet basée sur son engagement “Safety frst, on time, on spec,
on budget”, Boccard est devenu un acteur mondial incontournable dans
l’optimisation des investissements de ses clients, notamment pour les marchés
industriels de l’Oil & Gas, de l’énergie, du nucléaire et de la sidérurgie,
ainsi que pour les marchés de l’industrie du process comme la brasserie,
l’alimentation, les boissons, la cosmétique et la pharma-biotech.";"Parce que notre croissance repose sur la valeur de nos talents,
nous tenons à vous offrir des perspectives de carrière riches et
diversifées à l’international. Vous voulez évoluer au cœur de
projets industriels de grande envergure qui vous assurent un
épanouissement professionnel et personnel ? Alors n’hésitez plus,
rejoignez-nous !"
bottomline;Bottomline Technologies;Informatique & Télécommunication;Genève;France;"http://www.bottomline.co.uk/gtsuite";"emea-ch-info@
bottomline.com";;140;;;"Basée à Genève, Bottomline Technologies propose des logiciels informatiques
et des solutions cloud destinées aux banques et institutions fnancières dans le
domaine des paiements.";"Rejoignez une société internationale, dynamique, en pleine
croissance, vous proposant un véritable challenge technique dans
le domaine de l’édition de logiciels informatiques destinés au backoffce bancaire.
Rejoignez nos équipes d’ingénieurs passionnés par leur travail et
appliqués à donner le meilleur d’eux-mêmes au quotidien afn de
ravir nos clients.
Evoluez également dans un cadre de vie agréable à Genève et
ouvrez vous les portes d’une carrière à l’international en évoluant
vers nos autres entités du groupe Bottomline Technologies.
Attention : une nationalité de l’Union Européenne est obligatoire
afn de pouvoir prétendre à un stage ou un emploi en Suisse."
bouygues;BOUYGUES CONSTRUCTION;Divers ;"Saint-Quentin-en-Yvelines";France;http://www.carrieres.bouygues-construction.com;;;;;;"ARE YOU IN? Chez nous, l’innovation partagée nait de la synergie de
nos métiers, de nos inspirations et de nos personnalités. Tu es résolument
IN. Dans ton quotidien comme au bureau ? Viens partager l’expérience
Bouygues Construction ! Une expérience humaine forte pour plus de 50 000
collaborateurs dans 80 pays.";"Si tu es Ingénieux, intrépide, international, innovant et que tu as
le sens de l’engagement, ne change rien. Viens nous rencontrer
sur notre stand !"
bureaualpes;BUREAU ALPES CONTROLE;BTP,Urbanisme & Construction;;;;;;;;;;
capgemini;CAPGEMINI CONSULTING;Informatique & Télécommunication;;;;;;;;;;
casino;CASINO;Divers ;Saint-Etienne;France;"http://www.groupe-casino.fr";;36 Md;291000;;;"Le Groupe Casino occupe en France une position de leader dans le secteur de
la grande distribution grâce à la diversité de ses enseignes : Géant, Monoprix,
Supermarchés Casino, Leader Price, Franprix, Petit Casino, CDiscount, Casino
Restauration… et à une présence affrmée à l’international : Argentine, Brésil,
Colombie, Uruguay, Océan Indien...
La Diversité du Groupe trouve aussi son expression dans notre politique de
recrutement qui privilégie l’égalité des chances et la diversité des individus au
sein de nos équipes.
Casino, c’est aussi une stratégie d’innovation et de développement avec de
nombreuses réalisations : la Marque Casino forte de plus de 4000 références,
l’excellence de la Supply Chain, les outils d’analyse des comportements
clients et les programmes de fdélisation, le développement de stratégies
immobilières performantes.";"Le groupe Casino s’est engagé dès 1993 dans la lutte contre toutes
les formes de discriminations. Considérant la diversité comme un
facteur de performance économique, le Groupe Casino a défni
une politique volontariste de promotion de la diversité visant à
favoriser le recrutement de profls variés, à promouvoir l’égalité
professionnelle à tous les niveaux et dans tous les processus de
l’entreprise et à favoriser le vivre ensemble."
cea;CEA;Energie & Environnement;Saclay;France;http://www.cea.fr;stages@cea.fr;;19700;;;"La mission historique confée au CEA a irrigué plusieurs domaines de recherche
en lien direct ou indirect avec les sciences de l’atome. Aujourd’hui le nucléaire
reste un sujet d’étude central du CEA. Mais pour accomplir sa mission,
l’organisme a dû élargir le champ de ses recherches en physique, en chimie et
en biologie et développer de nouvelles connaissances en microélectronique,
dans les matériaux, les nouvelles technologies de l’énergie, par exemple.
Depuis sa création, le CEA constitue donc un acteur majeur de la recherche,
du développement et de l’innovation, au service de grands enjeux stratégiques
et industriels de notre pays.
Le CEA intervient aujourd’hui dans le cadre de quatre domaines : la défense et
la sécurité du pays, les énergies nucléaire (fssion et fusion) et renouvelables,
la recherche technologique pour l’industrie et la recherche fondamentale en
sciences de la matière et sciences de la vie.";"Rejoindre le CEA, c’est contribuer aux grandes priorités de
recherche, en France et en Europe. C’est aussi développer
un parcours professionnel motivant dans une communauté
pluridisciplinaire et ouverte sur la recherche internationale et le
monde industriel."
cesi;CESI ASSOCIATION;Ecoles de 3e cycle;Ecully;France;http://www.eicesi.fr;contact-lyon@cesi.fr;;;;;Crée en 1958, le CESI est un groupe d’enseignement supérieur et de formation professionnelle. Il s’appuie sur 25 établissements répartis dans l’hexagone et développe une offre organisée autour de 4 marques, dont l’école d’ingénieurs du CESI. Tournée vers l’innovation et prête à relever les défis de l’industrie du futur, du bâtiment et de la ville intelligente, notre école mène des activités de recherche dans son Laboratoire d’Innovation Numérique pour les Entreprises et les Apprentissages au service de la Compétitivité des Territoires (LINEACT);A l’issu de sa formation, l’élève mastérien obtient un Mastère Spécialisé® de la Conférence des Grandes Ecoles reconnu dans le monde académique et professionnel. Le Mastère Spécialisé® permet à un profil généraliste de se spécialiser et d’acquérir une expertise en approfondissant des connaissances dans un domaine pointu. Dans l’optique d’acquérir une double compétence, le Mastère Spécialisé® élargit les connaissances techniques et ajoute une facette managériale à un profil.
chec;CHEC;Ecoles de 3e cycle;Arcueil;France;http://www.chec.fr;chec@chec.fr;;;;;"La formation de spécialisation dispensée au CHEC a pour principal objectif de former des ingénieurs suffisamment qualifiés pour effectuer, dès leur sortie de l’école, des projets ou avant-projets dans un context opérationnel. Pour cette raison, les enseignants sont tous des professionnels issus des entreprises, des ingénieries ou des bureau de contrôle. Depuis la session 2017/2018 l’école est habilitée par la CTI à délivrer un titre d’ingénieur de spécialisation. Dès le début de la scolarité les élèves sont placés en contexte de projet par le biais des séances d’application. Au cours du 2ème semestre ils doivent réaliser des études d’avant-projet sur des sujets réels présentant chacun une difficulté technique particulière. Pour les trois projets (bâtiment, ouvrage d’art et méthodes), l’élève ingénieur doit faire la preuve de sa capacité à être acteur de la conception : •	en ayant une attitude critique vis-à-vis des données de base ; •	en cherchant à optimiser le dimensionnement ; •	en imaginant les moyens et méthodes de construction. Ce qui l’amène à aller bien au-delà d’une démarche de vérification. S’agissant de la transmission d’un savoir faire fondé sur la connaissance de la problématique des projets de construction, le corps enseignant est constitué principalement de professionnels de la construction.
";"La conception des structures fait aujourd’hui appel à des outils de modélisation et de calcul de plus en plus performants qui sont utilisés dans un contexte règlementaire d’une complexité croissante. La confrontation des connaissances acquises en formation initiale avec la pratique des meilleurs professionnels est donc un atout de premier ordre pour réussir une carrière d’ingénieur d’études dans le secteur de la construction. Conformément à sa mission d’origine, le CHEC reste donc la référence des professionnels de la construction.
"
colas;COLAS;BTP,Urbanisme & Construction;Boulogne-Billancourt;France;http://www.hubcarrierecolas.fr;;11 Md;55000;;;"Un leader mondial des travaux de construction et d’entretien de toutes les
infrastructures de transport, d’aménagement urbain ou de loisirs, le groupe
Colas se caractérise par la diversité de ses activités.
En France, le groupe Colas s’organise autour des activités suivantes :
construction et entretien des routes, autoroutes, pistes d’aéroports, production
de matériaux..., équipement de la route (Aximum), réseaux de canalisation
et pipe-line (Spac), étanchéité et bardage (Smac), travaux ferroviaires (Colas
Rail).
A l’International, Colas réalise des travaux routiers, des Ouvrages d’art et des
chantiers de bâtiment…";"Venez-vous renseigner sur un Groupe dynamique, innovant
et évolutif, aux valeurs fortes, pouvant vous offrir de réelles
opportunités de carrières."
cosumar;Cosumar;Industrie & Agroalimentaire;Casablanca;Maroc;http://www.cosumar.co.ma;;700 M;1500;;;"Le Groupe Cosumar, leader de la production du sucre blanc au MAROC,
assure l’extraction à partir des plantes sucrières locales, le raffnage du sucre
brut importé, le conditionnement, la distribution et l’exportation du sucre blanc
sous différentes formes.
Cosumar, l’unique opérateur sucrier marocain, est présent dans tout le
territoire à travers ses cinq fliales : Cosumar SA, Surac, Sunabel, Suta et
le Site de Zaio.";
creative;CREATIVE IT;Informatique & Télécommunication;Lyon;France;http://www.qubes.com;info@qubes.com;2,4 M;31;;;"Creative IT est éditeur de la solution Qubes, un progiciel intégré pour le suivi
de production. Nous comptons aujourd’hui près de 200 clients, des PME mais
également des entreprises multi-sites internationales (Sodiaal, Nutrixo, Thales,
Tipiak, …). Nous accompagnons nos clients dans leur transformation digitale
vers l’industrie 4.0.
L’entreprise est très innovante et a été soutenue à trois reprises par l’agence de
l’innovation française et a obtenu le label d’excellence Horizon 2020 de la
Commission Européenne en 2017. Notre logiciel Qubes est, entre autres, la
première solution de suivi de production disponible en mode Cloud.
Dans un contexte de forte croissance, notamment à l’international, nous
souhaitons intégrer de nouveaux collaborateurs au sein de nos différents
services.";"Rejoignez une entreprise dynamique, innovante, à taille humaine.
Nous recrutons régulièrement des alternants et stagiaires de 3ème
année avec possibilité d’embauches en CDI.
Les postes proposés conviendront à des candidats appréciant les
challenges, la découverte de nouvelles solutions informatiques,
les technologies de l’industrie du futur (réalité augmentée, réalité
virtuelle, maintenance prédictive, big data, smart sensors…)."
creditagricole;Credit agricole;Banque & Finance;Rabat;Maroc;http://www.creditagricole.ma;;284 M;3872;;;"Le Groupe Crédit Agricole du Maroc est un groupe universel fort de son
expérience et un pilier du secteur bancaire national, consacrant d’importants
moyens fnanciers, techniques et humains pour consolider l’un des poumons
économiques du Maroc.
Les activités du Groupe se sont progressivement diversifées et couvrent
aujourd’hui toutes les opérations de banque (du fnancement, de
l’investissement, de l’international, du Corporate,…)";« Progressons ENSEMBLE »
danone;Danone Maroc;Industrie & Agroalimentaire;Casablanca;Maroc;http://www.danone.com;;700 M;4000;;;"Acteur incontournable du secteur agroalimentaire, Centrale Danone est le
N°1 du marché des produits laitiers au Maroc, avec un chiffre d’affaires de
plus de 7 milliards de Dirhams et une part de marché global de près de 60%.
Nous accompagnons jour après jour, des millions de consommateurs depuis
plusieurs générations, et leur apportons bienfaits naturels et plaisir, à toute les
étapes de leur vie, nos marques phares: Danone, Centrale, Jamila, Activia,
Danette...";"Faites l’expérience d’une culture qui vous encourage à exprimer
vos idées et à partager ce qui vous passionne. Découvrez des
personnalités et des équipes qui contribuent chaque jour à la santé
dans le monde. Vous pourriez y trouver votre prochaine mission !"
dcns;NAVAL GROUP;Industrie & Agroalimentaire;;;;;;;;;;
dimosoft;DIMO SOFTWARE;Informatique & Télécommunication;Limonest;France;http://www.dimosoftware.com;;37,9 M;370;;;"Depuis plus de 20 ans, DIMO Software conjugue ses deux métiers d’éditeur et
intégrateur de solutions de gestion huit domaines d’expertise sont représentés:
Business Analytics, CRM, Dématérialisation et Processus, Finance, Gestion
des
RH, Gestion fscale, Maintenance et Voyages et frais professionnels.
Basée à Lyon, Paris, Biarritz, Nantes, Madrid, Toronto et Montréal, la société
DIMO Software connaît une croissance régulière depuis 1995. En 2017 , elle
compte 370 collaborateurs qui accompagnent 6000 clients dans 93 pays et
réalise un chire d’aaires de 37,9 M d’euros. DIMO Software est une entreprise
Handi’Accueillante.";"Munissez vous de votre CV, de votre bonne humeur et de votre
motivation pour venir nous rencontrer et nous parler de vous !"
dra;DRA Technologies;Informatique & Télécommunication;Villeurbanne;France;http://www.dra-technologies.fr;;3 M;45;;;"L’histoire de DRA Technologies, anciennement Datus Rhône-Alpes, démarre
en 2001 à Lyon.
Spécialisée en informatique industrielle et en automatisme, notre société
s’inscrit aujourd’hui comme une référence de qualité auprès de nos clients.
Notre goût du challenge nous pousse à relever de nouveaux défs toujours
plus ambitieux et d’ainsi permettre à nos collaborateurs de grandir au sein de
leurs fonctions et compétences techniques.
Notre leitmotiv : conserver un esprit de proximité et des valeurs humaines
au sein d’une structure en plein essor. Nous proposons un cadre de travail
agréable, une vie interne riche et un suivi de carrière étroit.
Spécialisés à l’origine dans le domaine de la métallurgie, notre expertise
s’étend aujourd’hui à tous les secteurs industriels (énergie, aéronautique,
pharma, automobile, défense…).
Encadrée par de réels professionnels passionnés et issus du métier, DRA
Technologies dispose d’une polyvalence technique acquise au fl du temps et
de notre expérience.
Depuis plusieurs années, notre zone d’action dépasse les frontières de la
région Rhône-Alpes-Auvergne puisque nous intervenons également sur le
quart nord-ouest de la France.";"DRA Technologies place le bien-être et l’épanouissement de ses
collaborateurs au centre de ses préoccupations.
Pour ce faire, dès votre arrivée, nous vous attribuons un parrain.
Ce ou cette volontaire représente un repère, un référent essentiel
dans votre intégration.
Notre réactivité nous permet de mettre à votre disposition tout
le matériel nécessaire ainsi que vos accès personnels, dès vos
premiers pas dans l’entreprise.
Equipés d’un ?ipper (entièrement développé par nos ingénieurs !)
nous avons régulièrement l’occasion de nous détendre lors de
tournois ! Venez nous défer !
Nous organisons au moins 4 soirées DRA au cours de l’année.
Restaurant atypique, ecape game, bubble foot… notre équipe
communication et administratif met tout en œuvre pour trouver de
nouvelles adresses et activités originales et conviviales.
Enfn, notre équipe est animée par la même passion des nouvelles
technologies, quelle meilleure raison que celle de faire ce que l’on
aime ?"
dtaingenierie;DTA INGENIERIE;Informatique & Télécommunication;Saint-Herblain;France;http://www.dta-ingenierie.fr;;4 M;111;;;"DTA Ingénierie est une société de services spécialisée dans le développement
informatique. Après plus de 20 ans d’expérience terrain en ingénierie
informatique, Delphine TAILLY créa DTA Ingénierie avec pour objectif premier,
l’insertion des jeunes diplômés en informatique.
En seulement un an, DTA Ingénierie a suivi une forte croissance ; notamment
avec le recrutement de plus de 50 collaborateurs en 2015, plus de 120
recrutements en 2016 et de 220 en 2017.
Au contact, des Entreprises de Services Numérique, nous travaillons avec les
grands comptes du secteur IT. Plus de 300 postes de développeurs à pourvoir
partout en France en 2018.";"Tu possèdes un Bac+3, Bac+4, Bac +5 ou Bac +8 ?
Fraîchement diplômé, tu recherches un poste de développeur
informatique ?
Ton ambition : Travailler pour le compte d’une ESN réputée ?
Viens nous rencontrer sur notre Stand Mercredi 7 mars 2018 ou
envoie-nous ta candidature à recrutement@dta-ingenierie.fr.
Tu peux également nous contacter au 02.52.60.28.10"
ecia;ECIA;Energie & Environnement;;;;;;;;;;
edf;EDF;Divers ;Paris;France;http://www.edf.fr;;71,2 Md ;155 000;;;"EDF, électricien performant et responsable, champion de la croissance bas
carbone est un des leaders sur le marché de l’énergie en Europe. EDF est
présente sur l’ensemble des métiers : la production, le transport, la distribution,
le négoce et la vente d’énergies.
Premier producteur d’électricité en Europe, le Groupe dispose en France de
moyens de production essentiellement nucléaires et hydrauliques fournissant à
87% une électricité sans émission de CO2.
Le Groupe EDF participe à la fourniture d’énergies et de services à près de 28
millions de clients en France.
En France, ses filiales de transport et de distribution exploitent 1 285 000 km
de lignes électriques de moyenne et basse tension et de l’ordre de 100 000
km de réseaux à haute et très haute tension.";
edifixio;EDIFIXIO;Informatique & Télécommunication;Levallois-Perret;France;http://www.edifxio.com/fr;recrutement@edifxio.com;27 M;300;;;"Nous sommes une société spécialisée en conseil technologique et en
intégration de systèmes.
Nous travaillons en partenariat avec plusieurs grands acteurs (IBM, Amazon
Web Services, Oracle, Salesforce …) mais nous utilisons aussi beaucoup de
briques Open Source.
Nous travaillons principalement sur des projets au forfait et privilégions une
stratégie de long terme avec nos salariés et nos clients, ce qui nous vaut la
fdélité des uns comme des autres.
Edifxio c’est :
• Une entreprise à taille humaine
• Une organisation souple
• Une culture projet
• Une préférence pour le forfait
• Une approche globale du besoin client (infrastructure, développement,
exploitation, …)";"En rejoignant Edifxio en tant que stagiaire vous aurez la
possibilité de :
•	Développer vos compétences techniques et fonctionnelles
•	D’intégrer des équipes projets et de développements
•	Répondre à des problématiques concrètes rencontrées par nos
clients
•	Bénéfcier d’une gratifcation de stage attractive
•	De participer à des activités internes dans un climat social
agréable
Nous menons une politique de stage de pré-embauche et suivons
attentivement le déroulement de chaque stage de part :
•	Une communication des objectifs dès les premières semaines
d’arrivées
•	Un suivi et un accompagnement individuel par le tuteur
•	La réalisation d’un entretien de fn de stage avec le tuteur et
les ressources humaines : bilan global et retour d’expérience.
Sur 2017, plus de 80% de nos stagiaires de fn d’études ont été
embauchés dans le cadre d’un contrat à durée indéterminée."
efor;EFOR-GROUP;Divers ;"Champagne au Mont d’Or";France;http://www.efor-group.fr;;22 M;350;;;"EFOR Group est une société de conseil en pleine croissance, créée en 2013.
Nous comptons déjà plus de 350 collaborateurs. EFOR se caractérise d’abord
par la volonté de rassembler des personnalités, des hommes et des femmes
passionnés. En effet, nous sommes convaincus qu’au-delà des compétences et
des expériences de chacun, notre plus grande force réside dans chacune des
personnalités des membres de nos équipes.
Notre groupe dispose aujourd’hui de 7 agences (Paris, Lyon, Strasbourg,
Belfort, Aix-en-Provence, Genève et Bruxelles). Nous ambitionnons de
continuer à faire grandir nos équipes, d’élargir notre territoire en France et à
l’international.";
egide;EGIDE (ATLANTIC);Industrie & Agroalimentaire;;;;;;;;;;
egis;EGIS SA;Divers ;"Saint-Quentin-en-Yvelines";France;http://ww.egis.fr;;1.020 Md ;13 800;;;"Egis est un groupe international d’ingénierie, de montage de projets et
d’exploitation. En ingénierie et conseil, Egis intervient dans les domaines des
transports, de la ville, du bâtiment, de l’industrie, de l’eau, de l’environnement
et de l’énergie. Dans les domaines routiers et aéroportuaires, son offre s’élargit
au développement de projets, à l’investissement en capital, à la fourniture
d’équipements et à l’exploitation. Par ailleurs, le Groupe se diversifie dans
les nouveaux services à la mobilité et dans le clé en mains dans le domaine
de l’énergie.
Imaginer un futur durable, au service des populations... telle est notre vocation.
Nous avons à cœur de relever les défis de la planète et d’accompagner les
transitions énergétique et écologique, numérique et territoriale, au service de
l’intérêt général.
Avec 13 800 collaborateurs, dont 8 300 dans l’ingénierie, le Groupe a
réalisé 1,020 M d’euros de chiffre d’affaires géré en 2016. Egis est filiale
à 75 % de la Caisse des Dépôts et à 25 % par des cadres partenaires (Iosis
Partenaires) et des salariés (FCPE).";"Egis est un lieu d’excellence. Dans tous nos métiers, nous sommes
réputés pour la qualité technique de nos réalisations, fiers d’être
à la pointe, et de le rester. Nous y veillons en permanence, par
la formation, les réseaux techniques, les projets de recherche. En
nous rejoignant, vous pourrez, quelle que soit votre spécialité,
côtoyer les meilleurs, participer à des projets collectifs ambitieux,
en un mot : grandir."
eiffage;GROUPE EIFFAGE;BTP,Urbanisme & Construction;Vélizy-Villacoublay;France;http://www.eiffage.com;;14 Md;70000;;;"Eiffage se distingue en France et dans le monde par l’exceptionnelle diversité
de ses compétences et de ses savoir-faire techniques.
Le Groupe exerce ses activités à travers les métiers de la construction et
de l’immobilier, du génie civil, du métal et de la route, de l’énergie et des
concessions.";"Venez nous rencontrer sur notre stand pour découvrir les métiers
du Bâtiment, du Génie Civil, de la Route et du Métal."
ekium;EKIUM;Energie & Environnement;Bron;France;"http://www.ekium.eu";contact@ekium.eu;81 M;850;;;"Acteur de référence dans l’Ingénierie Industrielle et Tertiaire ainsi que dans
l’Automation, le Groupe Ekium fédère plus de 850 collaborateurs et offre une
réelle proximité géographique grâce à ses 18 implantations en France, au
Luxembourg et à l’Ile Maurice. Avec plus de 25 ans d’expérience, le Groupe
intervient dans des secteurs d’activité porteurs pour accompagner ses clients
à chaque étape de leurs projets. Ekium, c’est l’opportunité d’exprimer votre
talent au sein de projets ambitieux !";"Chez Ekium, l’Ingénierie est avant tout un état d’esprit !
Entraide, écoute et esprit d’Ekip ne font qu’un ! Ekium met un
point d’honneur à ce que tous ses collaborateurs travaillent
dans les meilleures conditions. Découvrez sans plus attendre les
opportunités qui s’offrent à vous !"
elca;ELCA;Informatique & Télécommunication;Lausanne;Suisse;http://www.elca.ch;careers@elca.ch;103 M;800;;;"Avec plus de 800 collaborateurs, ELCA est le plus grand prestataire
indépendant de services informatiques en Suisse dans les domaines de l’IT,
Business Consulting, du développement et de la maintenance logicielle, et de
l’intégration de systèmes. La société est plus particulièrement active dans les
domaines des architectures logicielles, des systèmes distribués, des portails,
de la gestion électronique de documents (GED), du content management, de
la sécurité, du customer relationship management (CRM), des développements
mobiles et de la business intelligence/data warehousing.
ELCA possède des succursales à Lausanne, Genève, Berne, Zurich, Paris,
Madrid and Ho Chi Ming Ville (département offshore) et réalise un chiffre
d’affaires annuel de plus de 118 millions de CHF.
Plus d’informations sur www.elca.ch/fr ou via Twitter. (ElcaIT_fr)";"Chers étudiants, Chères étudiantes
Avec une centaine de projets par an dans des secteurs d’activités
variés, ELCA s’attache à offrir à ses collaborateurs des opportunités
intéressantes dans les domaines du conseil, du développement
logiciel et l’intégration de système sur les méthodes et des
technologies de pointe.
En tant que jeunes diplômé(e)s, vous intégrez une équipe projet et
vous contribuerez à la création de solutions à valeur ajoutée pour
nos clients avec qui nous collaborons souvent de longue date dans
une relation de confance et de partenariat. Vous pourrez acquérir
des compétences tant technologiques qu’humaines en collaborant
notamment avec notre équipe offshore au Vietnam.
Vous intégrerez un environnement de travail jeune, dynamique
et culturellement diversifé avec une trentaine de nationalités et
des diplômés issus de plus de 100 universités différentes. Vous
bénéfcierez de toute l’expertise d’une équipe expérimentée (plus
de 350 masters et 50 Phd) et d’une ambiance de travail agréable,
durable et respectueuse de l’équilibre entre vie professionnelle /
vie privée, basée sur le respect et la confance mutuelle.
Vous développerez ainsi rapidement votre savoir-faire et votre
savoir-être pour occuper rapidement un poste à responsabilité.
N’hésitez pas à nous contacter si vous vous sentez prêt(e)s à
relever le déf, nous serions ravis de faire votre connaissance.
L’équipe RH d’ELCA"
elcia;ELCIA;Industrie & Agroalimentaire;Brignais;France;http://www.elcia.com;srobin@elcia.com;15,7 M;140;;;"""ELCIA est éditeur de solutions innovantes en SAAS, mobilité, et client lourd.
Pour nos clients professionnels, nous inventons des applications qui n’existaient
pas et qui deviennent pourtant essentielles dans leur quotidien.
ProDevis, notre logiciel phare, est une gestion commerciale spécifquement
conçue pour les professionnels de la menuiserie (portes et fenêtres) qui intègre
un confgurateur de vente unique dans son concept.
Ceci fait notre succès depuis 18 ans.
Nos 4700 clients sont des installateurs, des négoces et des grands comptes
industriels. Avec sa fliale ISIA, ELCIA compte désormais 140 salariés pour un
chiffre d’affaires de 15,7M d’euros.""	""Rejoignez un éditeur de logiciels en pleine croissance ! ELCIA est
une belle PME innovante de 140 collaborateurs qui a les moyens
de ses ambitions et où il y a de la place pour être créatif et
proposer ses idées !
Labellisée Happy at Work en 2017, il y fait bon travailler,
ambiance fun et très professionnelle garantie ! Nous recherchons
de nouveaux talents curieux et ambitieux pour rejoindre notre site
Lyonnais et Tarbais !""";
elis;ELIS;Divers ;Saint-Cloud;France;http://www.elis.com;;3Md;45000;;;"Rejoignez Elis, groupe multiservices, leader de la location-entretien de
vêtements professionnels, d’articles textiles et d’hygiène.
Notre mission : simplifier la vie des professionnels en leur permettant de se
concentrer sur leur cœur de métier. Ainsi 400 000 clients, de toute taille et
de tout secteur, nous font confiance à travers le monde. Grâce à nos 45 000
collaborateurs portés par leur excellence opérationnelle, nous connaissons
une croissance ininterrompue depuis 60 ans.
Avec près de 500 centres de production et distribution répartis dans 28 pays,
nous bénéficions d’un rayonnement international qui nous permet d’agir au
plus près de nos clients.
Le service c’est Elis. Et Elis c’est vous.";"Venir rencontrer ELIS lors du forum vous donnera la possibilité
d’échanger avec l’équipe recrutement, de présenter votre projet
professionnel et décrocher un poste en CDI en adéquation avec
votre recherche.
ELIS, et si c’était vous !"
elsys;ELSYS DESIGN;Electronique & Nanotechnologie;;;;;;;;;;
emerson;EMERSON;Divers ;;;;;;;;;;
emgrenoble;Em Grenoble;Ecoles de 3e cycle;;;;;;;;;;
ernstyoung;ERNST & YOUNG;Audit & Conseil;Courbevoie;France;"http://www.ey.com/fr/carrieres";;31,4 Md;247570;;;"EY rassemble aujourd’hui 248 570 associés et collaborateurs à travers le
monde, dans plus de 152 pays.
Grâce à ce réseau, dont le niveau d’intégration et l’ampleur internationale
sont gages d’une même excellence partout dans le monde, EY renforce sa
position de leader mondial de l’Audit, du Conseil, des Transactions, de la
Fiscalité et du Droit. Notre expertise et la qualité de nos services contribuent à
créer les conditions de la confance dans l’économie et les marchés fnanciers.
Au-delà, dans un monde marqué par l’accélération des ruptures et des cycles
technologiques, EY accompagne la transformation digitale des entreprises.
Nos clients peuvent ainsi exploiter au mieux les potentiels de création de
valeur du digital, nouvelles sources de leadership. Nous faisons grandir
des leaders afn, qu’ensemble, ils accompagnent les organisations vers une
croissance pérenne. Et notre engagement envers nos équipes commence avec
cette promesse : quel que soit votre parcours avec nous, l’expérience EY dure
toute une vie.";"En rejoignant EY, vous travaillerez en équipe, auprès d’entreprises
de renom sur des problématiques variées au cœur des enjeux
actuels (transformation digitale, innovation, RSE... ).
Vous bénéfcierez de nombreuses formations, qui vous permettront
de développer une expertise technique et sectorielle solide ainsi
que votre réseau auprès des décideurs d’aujourd’hui et de demain."
escp;ESCP Europe;Ecoles de 3e cycle;;;;;;;;;;
essec;ESSEC;Ecoles de 3e cycle;Cergypontoise;France;http://www.essec.edu;;;;;;"Créée en 1907, l’ESSEC BUSINESS SCHOOL est une institution académique d’excellence qui s’est, tout au long de son histoire, illustrée par son esprit pionnier. L’ESSEC propose une large gamme de programmes à tous ceux qui souhaitent vivre une expérience d’apprentissage hors du commun, fortifier leurs talents, exprimer leur leadership et devenir des managers de haut niveau.  Forte d’un large réseau d’entreprises et d’institutions académiques en France et partout dans le monde, l’ESSEC a le souci constant de confronter ses étudiants à des savoirs de pointe au croisement des disciplines et de les faire bénéficier des dernières technologies. Marquée par une profonde tradition humaniste, l’ESSEC a fait du lien entre vie économique et société un sujet majeur de recherche et un enjeu fondamental de la formation de managers responsables. Par là-même, l’ESSEC affirme la nécessité de mettre l’innovation, le savoir et la création de valeur au service de l’intérêt général.
www";
etandex;ETANDEX;BTP,Urbanisme & Construction;Courtaboeuf;France;http://www.etandex.fr;recrutement@etandex.fr;80 M;500;;;"ETANDEX est l’acteur de référence dans le métier des travaux spéciaux en
France.
Avec plus de 1000 chantiers par an, ETANDEX est spécialisée dans les
interventions et projets à hautes contraintes et technicité.
Entreprise de Taille Intermédiaire en forte croissance dont la force réside dans
le savoir-faire de ses collaborateurs et la recherche constante d’innovation
(digital, mécanisation, robotique, composites…)
Nous intervenons en Génie Civil (renforcement de viaducs, métros…),
Environnement, Nucléaire (interventions complexes), Ouvrages Fonctionnels
(rénovation de centres aquatiques, cuisines collectives…), Bâtiment, Industriel
(restructuration d’usines agroalimentaires, vinicole).";"Chez ETANDEX, vous trouverez plus qu’un métier : une véritable
mission, avec des managers et projets inspirants.
Vous avez raison de vouloir nous rencontrer !"
